,organism,last_update
31,Archaeoglobus_profundus,2023-06-22 12:40:00
44,Candidatus_Bathyarchaeota_archaeon,2023-06-22 16:34:00
51,Candidatus_Korarchaeum_sp.,2023-06-22 22:41:00
56,Candidatus_Methanolliviera_sp._GoM_oil,2023-06-22 17:55:00
59,Candidatus_Methanomethylophilus_sp._1R26,2023-06-22 14:06:00
70,Candidatus_Nitrosocaldus_cavascurensis,2023-06-22 18:02:00
86,Candidatus_Nitrosotalea_devanaterra,2023-06-22 18:02:00
88,Candidatus_Nitrosotalea_sinensis,2023-06-22 15:56:00
96,Candidatus_Parvarchaeum_acidiphilum,2023-06-22 12:44:00
101,Conexivisphaera_calida,2023-06-22 19:28:00
107,Crenarchaeota_archaeon_SCGC_AAA471-O08,2023-06-22 12:46:00
109,Desulfurococcaceae_archaeon_AG1,2023-06-22 16:14:00
139,Halalkaliarchaeum_desulfuricum,2023-06-22 16:34:00
158,Halegenticoccus_soli,2023-06-22 15:56:00
174,Haloarcula_rubripromontorii,2023-06-22 13:46:00
192,Haloarcula_sp._R1-2,2023-06-22 19:05:00
199,Halobacterium_litoreum,2023-06-22 22:49:00
208,Halobacterium_sp._KA-4,2023-06-22 22:45:00
237,Halobellus_salinus,2023-06-22 20:01:00
247,Halocatena_salina,2023-06-22 23:22:00
270,Haloferax_marinisediminis,2023-06-22 18:30:00
273,Haloferax_massiliensis,2023-06-22 15:18:00
286,Haloferax_sp._Atlit-10N,2023-06-22 16:34:00
290,Haloferax_sp._Atlit-24N,2023-06-22 16:26:00
306,Halogeometricum_rufum,2023-06-22 15:18:00
307,Halogeometricum_sp._CBA1124,2023-06-22 20:04:00
309,Haloglomus_sp._DT116,2023-06-23 01:24:00
318,Halohasta_sp._GSL13,2023-06-22 23:45:00
323,Halolamina_sediminis,2023-06-22 13:46:00
334,Halomicroarcula_limicola,2023-06-22 18:43:00
344,Halomicroarcula_sp._SYNS111,2023-06-23 01:24:00
367,Halopiger_aswanensis,2023-06-22 16:35:00
371,Haloplanus_aerogenes,2023-06-22 16:46:00
388,Haloquadratum_sp._J07HQX50,2023-06-22 12:51:00
390,Halorhabdus_amylolytica,2023-06-22 17:12:00
413,Halorubrum_amylolyticum,2023-06-22 16:52:00
420,Halorubrum_distributum,2023-06-22 12:50:00
427,Halorubrum_laminariae,2023-06-22 23:53:00
435,Halorubrum_salinarum,2023-06-22 19:27:00
440,Halorubrum_sp._1-13-28,2023-06-22 23:34:00
442,Halorubrum_sp._48-1-W,2023-06-22 16:21:00
445,Halorubrum_sp._ASP1,2023-06-22 17:18:00
457,Halorubrum_sp._CGM4_25_10-8A,2023-06-22 17:18:00
465,Halorubrum_sp._GN11GM_10-3_MGM,2023-06-22 17:18:00
482,Halorubrum_tebenquichense,2023-06-22 12:50:00
518,Halosimplex_salinum,2023-06-22 16:44:00
542,Halovivax_asiaticus,2023-06-22 12:50:00
560,Marine_Group_III_euryarchaeote_SCGC_AAA288-E19,2023-06-22 12:44:00
566,Marine_Group_I_thaumarchaeote_SCGC_AAA799-E16,2023-06-22 13:24:00
572,Marine_Group_I_thaumarchaeote_SCGC_RSA3,2023-06-22 13:24:00
584,Methanobacterium_alcaliphilum,2023-06-22 23:25:00
591,Methanobacterium_paludis,2023-06-22 12:43:00
593,Methanobacterium_sp._A39,2023-06-22 14:32:00
598,Methanobacterium_sp._YSL,2023-06-22 21:52:00
599,Methanobacterium_spitsbergense,2023-06-22 22:22:00
615,Methanobrevibacter_sp._A27,2023-06-22 14:32:00
616,Methanobrevibacter_sp._A54,2023-06-22 14:32:00
629,Methanocaldococcus_fervens,2023-06-22 12:40:00
652,Methanococcus_voltae,2023-06-22 21:05:00
668,Methanoculleus_sp._CAG_1088,2023-06-22 12:51:00
670,Methanoculleus_sp._MH98A,2023-06-22 13:24:00
693,Methanohalophilus_portucalensis,2023-06-22 15:51:00
694,Methanohalophilus_profundi,2023-06-22 16:54:00
696,Methanohalophilus_sp._WG1-DM,2023-06-22 16:52:00
700,Methanolinea_tarda,2023-06-22 12:44:00
707,Methanolobus_tindarius,2023-06-22 12:46:00
712,Methanomassiliicoccus_luminyensis,2023-06-22 12:46:00
715,Methanomicrobium_antiquum,2023-06-23 01:30:00
726,Methanoregula_boonei,2023-06-22 12:39:00
732,Methanosarcina_flavescens,2023-06-22 19:11:00
746,Methanosarcina_sp._DH1,2023-06-22 22:43:00
758,Methanosphaera_sp._A6,2023-06-22 14:32:00
764,Methanospirillum_hungatei,2023-06-22 12:31:00
771,Methanothermobacter_sp._CaT2,2023-06-22 13:24:00
788,Methermicoccus_shengliensis,2023-06-22 13:14:00
808,Natrialba_sp._INN-245,2023-06-22 18:35:00
832,Natrinema_saccharevitans,2023-06-22 14:53:00
844,Natrinema_versiforme,2023-06-22 12:32:00
846,Natronoarchaeum_philippinense,2023-06-22 15:40:00
851,Natronobiforma_sp._CGA73,2023-06-22 23:50:00
858,Natronococcus_sp._A-GB7,2023-06-23 01:31:00
867,Natronomonas_moolapensis,2023-06-22 12:45:00
868,Natronomonas_pharaonis,2023-06-22 12:37:00
890,Nitrosopumilus_oxyclinae,2023-06-22 19:33:00
904,Palaeococcus_ferrophilus,2023-06-22 13:24:00
908,Pyrobaculum_arsenaticum,2023-06-22 12:32:00
912,Pyrobaculum_neutrophilum,2023-06-22 12:39:00
923,Pyrodictium_delaneyi,2023-06-22 13:55:00
931,Salella_cibi,2023-06-22 14:52:00
939,Salinigranum_salinum,2023-06-22 18:18:00
943,Salinirubrum_litoreum,2023-06-22 22:37:00
1009,Thermococcus_sp._21S9,2023-06-22 19:12:00
1014,Thermococcus_sp._9N3,2023-06-22 19:09:00
1020,Thermococcus_sp._GR4,2023-06-22 19:09:00
1022,Thermococcus_sp._GR6,2023-06-22 19:09:00
1026,Thermococcus_sp._LS1,2023-06-22 19:12:00
1047,Thermoplasmatales_archaeon_BRNA1,2023-06-22 12:46:00
1054,Thermoproteus_uzoniensis,2023-06-22 12:45:00
1083,halophilic_archaeon_SHRA6,2023-06-22 17:14:00
1088,uncultured_Acidilobus_sp._MG,2023-06-22 13:22:00
